,date,bx,team,home_away,opponent,win_loss,runs,runs_allowed,innings,record,rank,games_behind_raw,win_pitcher,loss_pitcher,save_pitcher,game_time,day_night_raw,attendance,streak_raw,schedule_comment,IfWeekend,home,night_game,win_loss_new,win_total,loss_total,streak,game_duration,games_behind,actual_date,rain
0,-118800000,boxscore,ATL,@,PHI,L,4,10,9,0//1,3,1,Nola,Teheran,,3:04,D,0.842710682,-,,0,0,0,L,0,1,-1,184,0,"Thursday, Mar 28 1966",0
1,-118627200,boxscore,ATL,@,PHI,L,6,8,9,0//2,4,2,Morgan,Parsons,,3:27,D,0.845136349,--,,1,0,0,L,0,2,-2,207,0,"Saturday, Mar 30 1966",0
2,-118540800,boxscore,ATL,@,PHI,L,1,5,9,0//3,5,3,Arrieta,Wright,,3:17,N,0.784741041,---,,1,0,1,L,0,3,-3,197,0,"Sunday, Mar 31 1966",0
3,-118454400,boxscore,ATL,,CHC,W,8,0,9,1//3,5,2.5,Parsons,Hendricks,,3:12,N,0.794254202,+,,0,1,1,W,1,3,1,192,5,"Monday, Apr 1 1966",0
4,-118281600,boxscore,ATL,,CHC,W,6,4,9,2//3,3,2.5,Jackson,Cishek,Vizcaino,3:32,N,0.708711554,++,,0,1,1,W,2,3,2,212,5,"Wednesday, Apr 3 1966",0
5,-118195200,boxscore,ATL,,CHC,W,9,4,9,3//3,3,1.5,Fried,Darvish,,3:29,N,0.64081184,+++,,0,1,1,W,3,3,3,209,5,"Thursday, Apr 4 1966",0
6,-118108800,boxscore,ATL,,MIA,W,4,0,9,4//3,3,1.5,Gausman,Lopez,,2:35,N,0.553696299,++++,,1,1,1,W,4,3,4,155,5,"Friday, Apr 5 1966",0
7,-118022400,boxscore,ATL,,MIA,L,2,4,9,4//4,3,2,Romo,Minter,Conley,3:16,N,0.674979628,-,,1,1,1,L,4,4,-1,196,0,"Saturday, Apr 6 1966",0
8,-117936000,boxscore,ATL,,MIA,W-wo,4,3,9,5//4,3,1.5,Vizcaino,Conley,,2:33,D,0.616858383,+,,1,1,0,W,5,4,1,153,5,"Sunday, Apr 7 1966",0
9,-117849600,boxscore,ATL,@,COL,W,8,6,9,6//4,3,1.5,Teheran,Freeland,Minter,2:59,N,0.477534158,++,,0,0,1,W,6,4,2,179,5,"Monday, Apr 8 1966",0
10,-117763200,boxscore,ATL,@,COL,W,7,1,9,7//4,2,0.5,Fried,Marquez,,3:12,N,0.495063389,+++,,0,0,1,W,7,4,3,192,5,"Tuesday, Apr 9 1966",0
11,-117590400,boxscore,ATL,,NYM,L,3,6,9,7//5,3,1,Matz,Gausman,Diaz,3:14,N,0.455096742,-,,0,1,1,L,7,5,-1,194,0,"Thursday, Apr 11 1966",0
12,-117504000,boxscore,ATL,,NYM,L,2,6,9,7//6,3,2,Wheeler,Wright,,3:07,N,0.63169664,--,,1,1,1,L,7,6,-2,187,0,"Friday, Apr 12 1966",0
